Nesne,Hava,Marj,mAP50,Precision,Recall
drone,Temiz_Hava,0_px,94.62,92.42,89.95
drone,Temiz_Hava,1_px,96.93,93.59,94.32
drone,Temiz_Hava,3_px,98.9,97.0,96.88
drone,Temiz_Hava,5_px,99.11,96.91,97.42
drone,Temiz_Hava,10_px,99.22,97.15,98.02
drone,Bulutlu_Hava,0_px,98.12,95.58,95.92
drone,Bulutlu_Hava,1_px,98.62,96.42,96.61
drone,Bulutlu_Hava,3_px,98.7,96.47,96.97
drone,Bulutlu_Hava,5_px,99.14,96.94,97.55
drone,Bulutlu_Hava,10_px,99.22,97.14,97.98
drone,Gunes_Hava,0_px,97.54,95.35,95.19
drone,Gunes_Hava,1_px,98.3,95.71,96.05
drone,Gunes_Hava,3_px,98.82,96.12,96.95
drone,Gunes_Hava,5_px,99.1,97.13,97.34
drone,Gunes_Hava,10_px,99.14,97.13,97.55
drone,Hafif_Yagmurlu,0_px,97.5,95.35,95.96
drone,Hafif_Yagmurlu,1_px,96.37,94.07,93.09
drone,Hafif_Yagmurlu,3_px,98.84,96.32,97.1
drone,Hafif_Yagmurlu,5_px,99.08,96.6,97.69
drone,Hafif_Yagmurlu,10_px,99.24,97.45,97.69
drone,Saganak_Yagmur,0_px,97.14,95.32,94.59
drone,Saganak_Yagmur,1_px,98.12,96.16,95.66
drone,Saganak_Yagmur,3_px,98.14,95.86,95.63
drone,Saganak_Yagmur,5_px,98.91,96.45,97.03
drone,Saganak_Yagmur,10_px,99.17,97.06,97.38
kus,Temiz_Hava,1_px,95.61,90.64,90.33
kus,Temiz_Hava,3_px,96.23,90.28,91.66
kus,Temiz_Hava,5_px,96.56,91.32,91.74
kus,Temiz_Hava,10_px,97.08,90.53,93.55
kus,Bulutlu_Hava,0_px,95.16,89.82,90.44
kus,Bulutlu_Hava,1_px,95.76,90.35,91.48
kus,Bulutlu_Hava,3_px,96.38,91.28,91.45
kus,Bulutlu_Hava,5_px,96.11,90.54,92.53
kus,Bulutlu_Hava,10_px,97.03,91.55,92.36
kus,Gunes_Hava,0_px,94.99,89.62,90.13
kus,Gunes_Hava,1_px,95.62,90.04,90.83
kus,Gunes_Hava,3_px,95.95,90.54,91.11
kus,Gunes_Hava,5_px,96.41,90.7,91.79
kus,Gunes_Hava,10_px,96.78,91.62,92.16
kus,Hafif_Yagmurlu,0_px,95.11,90.24,90.22
kus,Hafif_Yagmurlu,1_px,95.35,89.69,90.18
kus,Hafif_Yagmurlu,3_px,96.03,90.27,90.72
kus,Hafif_Yagmurlu,5_px,96.31,90.01,92.0
kus,Hafif_Yagmurlu,10_px,96.86,91.87,91.99
kus,Saganak_Yagmur,0_px,93.3,88.73,88.03
kus,Saganak_Yagmur,1_px,94.04,88.84,88.94
kus,Saganak_Yagmur,3_px,94.31,89.06,89.51
kus,Saganak_Yagmur,5_px,94.98,89.35,89.83
kus,Saganak_Yagmur,10_px,95.66,91.17,91.15
ucak,Temiz_Hava,0_px,99.12,97.74,97.09
ucak,Temiz_Hava,1_px,99.09,98.22,97.25
ucak,Temiz_Hava,3_px,99.03,98.09,97.77
ucak,Temiz_Hava,5_px,99.19,98.29,98.24
ucak,Temiz_Hava,10_px,99.27,98.62,98.36
ucak,Bulutlu_Hava,0_px,99.03,97.54,97.31
ucak,Bulutlu_Hava,1_px,99.07,98.05,97.59
ucak,Bulutlu_Hava,3_px,99.17,98.16,97.93
ucak,Bulutlu_Hava,5_px,99.25,98.24,97.95
ucak,Bulutlu_Hava,10_px,99.31,98.73,98.34
ucak,Gunes_Hava,0_px,98.52,97.3,95.65
ucak,Gunes_Hava,1_px,98.66,97.21,95.98
ucak,Gunes_Hava,3_px,98.89,97.56,96.2
ucak,Gunes_Hava,5_px,99.07,97.99,96.84
ucak,Gunes_Hava,10_px,99.17,98.15,97.37
ucak,Hafif_Yagmurlu,0_px,98.9,97.77,96.69
ucak,Hafif_Yagmurlu,1_px,98.97,98.01,96.66
ucak,Hafif_Yagmurlu,3_px,99.19,98.12,97.57
ucak,Hafif_Yagmurlu,5_px,99.13,97.86,97.43
ucak,Hafif_Yagmurlu,10_px,99.32,98.59,98.24
ucak,Saganak_Yagmur,0_px,97.34,96.32,93.7
ucak,Saganak_Yagmur,1_px,97.77,96.92,94.38
ucak,Saganak_Yagmur,3_px,98.14,97.44,94.78
ucak,Saganak_Yagmur,5_px,98.52,97.26,95.37
ucak,Saganak_Yagmur,10_px,98.79,97.53,96.08
